Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency,Day,Month,Year,Anomaly
2015-01-26 07:42:43,Cash,Food,,paav,103.5,Expense,PKR,26,1,2015,No
2015-01-26 19:39:39,Cash,Food,,milk half shakti,89.7,Expense,PKR,26,1,2015,No
2015-01-27 18:34:10,Cash,Food,,tea,103.5,Expense,PKR,27,1,2015,No
2015-01-27 18:34:20,Cash,Food,,chana chat,51.75,Expense,PKR,27,1,2015,No
2015-01-29 07:30:48,Cash,Food,,samosa,51.75,Expense,PKR,29,1,2015,No
2015-01-29 07:30:48,Cash,Food,,good day biscuits,131.1,Expense,PKR,29,1,2015,No
2015-01-29 07:30:48,Cash,Food,,milk half shakti,89.7,Expense,PKR,29,1,2015,No
2015-01-30 23:10:04,Cash,Food,,dinner treat,3463.8,Expense,PKR,30,1,2015,No
2015-01-30 23:10:04,Cash,Transportation,,auto - Genda circle to b45,345.0,Expense,PKR,30,1,2015,No
2015-01-31 16:14:27,Cash,Food,,bananas,69.0,Expense,PKR,31,1,2015,No
2015-01-31 16:14:27,Cash,Food,,bhindi,138.0,Expense,PKR,31,1,2015,No
2015-02-13 09:08:59,Cash,Food,,milk half shakti,93.15,Expense,PKR,13,2,2015,No
2015-02-13 09:08:59,Saving Bank account 1,Food,,chana chat + tea,72.45,Expense,PKR,13,2,2015,No
2015-02-15 08:40:08,Cash,Food,,bread,51.75,Expense,PKR,15,2,2015,No
2015-02-15 08:40:26,Cash,Food,,tea,69.0,Expense,PKR,15,2,2015,No
2015-02-15 19:54:13,Cash,Transportation,,taxi - dadar to vadala road,117.3,Expense,PKR,15,2,2015,No
2015-02-15 19:54:41,Cash,Transportation,,local - vadala road to Place 0,51.75,Expense,PKR,15,2,2015,No
2015-02-15 19:55:31,Cash,Food,,pani puri,69.0,Expense,PKR,15,2,2015,No
2015-02-15 19:57:00,Cash,Other,,Internet renewal,1725.0,Expense,PKR,15,2,2015,No
2015-02-15 21:37:45,Cash,Household,,mixer repair,862.5,Expense,PKR,15,2,2015,No
2015-02-16 10:18:40,Cash,Transportation,,local - Place 0 to Place 5 return,103.5,Expense,PKR,16,2,2015,No
2015-02-16 11:38:58,Saving Bank account 1,Food,,kaju katli 250gm,859.0500000000001,Expense,PKR,16,2,2015,No
2015-02-17 08:20:06,Cash,Food,,dinner,783.1500000000001,Expense,PKR,17,2,2015,No
2015-02-19 11:38:58,Cash,Food,,milk 1lit ,207.0,Expense,PKR,19,2,2015,No
2015-02-19 20:51:37,Cash,Health,Medicine,koflet,117.3,Expense,PKR,19,2,2015,No
2015-02-19 20:52:01,Cash,Health,Health,face mask,155.25,Expense,PKR,19,2,2015,No
2015-02-23 09:19:54,Saving Bank account 1,Other,,splitwise settlement,14207.1,Expense,PKR,23,2,2015,No
2015-02-23 15:43:13,Credit Card,Transportation,train,to and fro Mum to BRC,1814.7,Expense,PKR,23,2,2015,No
2015-02-23 18:39:59,Cash,Apparel,Footwear,shoe polish,69.0,Expense,PKR,23,2,2015,No
2015-02-23 19:37:47,Cash,Transportation,Train,Place 0 to Bandra,69.0,Expense,PKR,23,2,2015,No
2015-02-23 21:15:40,Cash,Transportation,auto,Bandra to Bandra terminus,69.0,Expense,PKR,23,2,2015,No
2015-02-24 05:46:53,Cash,Food,Tea,,34.5,Expense,PKR,24,2,2015,No
2015-02-24 05:47:03,Cash,Transportation,auto,ola auto - BRC to b45,227.7,Expense,PKR,24,2,2015,No
2015-02-24 22:10:01,Cash,Food,Grocery,vegetable,552.0,Expense,PKR,24,2,2015,No
2015-02-26 20:05:31,Cash,Food,Milk,,89.7,Expense,PKR,26,2,2015,No
2015-02-26 20:05:39,Cash,Food,Grocery,eggs,103.5,Expense,PKR,26,2,2015,No
2015-02-26 20:06:17,Cash,Food,Tea,,20.700000000000003,Expense,PKR,26,2,2015,No
2015-02-26 20:06:17,Cash,Transportation,auto,office to vasna road,207.0,Expense,PKR,26,2,2015,No
2015-02-28 11:33:42,Cash,Food,Milk,,89.7,Expense,PKR,28,2,2015,No
2015-02-28 17:30:58,Saving Bank account 1,Salary,,From workplace ,171830.7,Income,PKR,28,2,2015,No
2015-02-28 17:48:39,Cash,Food,Tea,,69.0,Expense,PKR,28,2,2015,No
2015-02-28 17:48:39,Cash,Food,Lunch,chicken thali,189.75,Expense,PKR,28,2,2015,No
2015-03-13 15:01:05,Cash,Transportation,auto,to office,34.5,Expense,PKR,13,3,2015,No
2015-03-14 09:11:06,Cash,Food,Milk,,89.7,Expense,PKR,14,3,2015,No
2015-03-14 19:21:18,Cash,Apparel,Laundry,ironing,138.0,Expense,PKR,14,3,2015,No
2015-03-15 18:38:29,Cash,Food,Milk,shakti + bread,124.2,Expense,PKR,15,3,2015,No
2015-03-15 18:38:44,Cash,Other,,cycle air pumping,17.25,Expense,PKR,15,3,2015,No
2015-03-15 18:39:12,Cash,Apparel,Clothing,altering,103.5,Expense,PKR,15,3,2015,No
2015-03-16 16:38:08,Cash,Food,Tea,,69.0,Expense,PKR,16,3,2015,No
2015-03-16 21:30:08,Cash,Health,Hospital,dentist check-up,3450.0,Expense,PKR,16,3,2015,No
2015-03-17 16:21:18,Cash,Other,,laptop repair,1552.5,Expense,PKR,17,3,2015,No
2015-03-18 09:25:24,Cash,Food,Milk,,89.7,Expense,PKR,18,3,2015,No
2015-03-18 10:56:33,Cash,Food,breakfast,aloo paratha,69.0,Expense,PKR,18,3,2015,No
2015-03-18 13:22:02,Cash,Food,Lunch,dal fry and chapati,86.25,Expense,PKR,18,3,2015,No
2015-03-18 18:27:14,Cash,Food,snacks,samosa+tea+veg cheese grill sandwich,182.85,Expense,PKR,18,3,2015,No
2015-03-19 16:08:23,Cash,Household,Kitchen,cooker ring,172.5,Expense,PKR,19,3,2015,No
2015-03-20 19:08:18,Credit Card,Health,Hospital,dentist check-up,12765.0,Expense,PKR,20,3,2015,No
2015-03-20 21:36:58,Cash,Apparel,Laundry,dry cleaning,345.0,Expense,PKR,20,3,2015,No
2015-03-23 13:17:56,Cash,water (jar /tanker),,refilling,69.0,Expense,PKR,23,3,2015,No
2015-03-23 13:19:44,Credit Card,Food,Grocery,,1496.61,Expense,PKR,23,3,2015,No
2015-03-24 08:52:41,Cash,Food,Milk,,89.7,Expense,PKR,24,3,2015,No
2015-03-25 14:02:02,Cash,water (jar /tanker),,,69.0,Expense,PKR,25,3,2015,No
2015-03-29 20:06:39,Cash,Food,Grocery,,517.5,Expense,PKR,29,3,2015,No
2015-03-29 20:08:01,Cash,Health,Medicine,kala hit,928.05,Expense,PKR,29,3,2015,No
2015-03-31 13:00:05,Saving Bank account 1,Salary,,From workplace ,244280.7,Income,PKR,31,3,2015,Yes
2015-04-13 12:24:47,Saving Bank account 1,Recurring Deposit,,,3450.0,Expense,PKR,13,4,2015,No
2015-04-13 12:24:47,Saving Bank account 1,Investment,Mutual fund, mutual fund,3450.0,Expense,PKR,13,4,2015,No
2015-04-14 12:24:47,Saving Bank account 1,Other,,covid19 donation to PM fund,1725.0,Expense,PKR,14,4,2015,No
2015-04-18 10:33:25,Saving Bank account 1,Food,Grocery,snacks,1117.8,Expense,PKR,18,4,2015,No
2015-04-18 10:33:50,Saving Bank account 1,Other,,hair oil,621.0,Expense,PKR,18,4,2015,No
2015-04-23 13:00:42,Cash,Food,Milk,milk half gold,193.2,Expense,PKR,23,4,2015,No
2015-04-24 09:25:33,Saving Bank account 1,Food,Grocery,snacks + veggie,1449.0,Expense,PKR,24,4,2015,No
2015-04-26 09:06:04,Saving Bank account 1,Food,Dinner,srikhand,393.3,Expense,PKR,26,4,2015,No
2015-04-26 10:48:00,Saving Bank account 1,Food,Grocery,eggs + bread,379.5,Expense,PKR,26,4,2015,No
2015-04-26 10:48:25,Cash,Other,,stationary (drawing book + black sketch pen),203.55,Expense,PKR,26,4,2015,No
2015-04-28 08:43:51,Cash,Food,Milk,milk half gold,96.6,Expense,PKR,28,4,2015,No
2015-04-28 15:44:31,Saving Bank account 1,Salary,,From workplace ,170105.7,Income,PKR,28,4,2015,No
2015-05-13 08:31:49,Saving Bank account 1,Food,Milk,milk half shakti,89.7,Expense,PKR,13,5,2015,No
2015-05-13 08:32:03,Cash,Health,Health,N95 mask,862.5,Expense,PKR,13,5,2015,No
2015-05-14 10:38:24,Saving Bank account 1,Other,,internet renewal (3 months pack),5002.5,Expense,PKR,14,5,2015,No
2015-05-15 07:33:09,Saving Bank account 1,Food,Milk,milk half shakti,89.7,Expense,PKR,15,5,2015,No
2015-05-16 11:24:15,Saving Bank account 1,Food,Milk,milk half shakti,89.7,Expense,PKR,16,5,2015,No
2015-05-16 11:24:35,Cash,Food,fruits,bananas 1 kg,69.0,Expense,PKR,16,5,2015,No
2015-05-16 14:52:42,Saving Bank account 1,Other,,splitwise settlement,2094.15,Expense,PKR,16,5,2015,No
2015-05-17 17:57:12,Saving Bank account 1,Transportation,Taxi,BR to mumbai,20700.0,Expense,PKR,17,5,2015,No
2015-05-31 12:02:40,Saving Bank account 1,Money transfer,,,34500.0,Expense,PKR,31,5,2015,Yes
2015-05-31 12:02:40,Saving Bank account 1,Salary,,From workplace ,165113.55000000002,Income,PKR,31,5,2015,No
2015-05-31 21:44:54,Saving Bank account 1,Household,Appliances,electricity bill,9214.95,Expense,PKR,31,5,2015,No
2015-06-23 09:53:35,Saving Bank account 1,Other,,Amazon prime,3446.55,Expense,PKR,23,6,2015,No
2015-06-29 09:53:35,Saving Bank account 1,Other,,Amazon prime,686.5500000000001,Expense,PKR,29,6,2015,No
2015-06-30 09:53:35,Saving Bank account 1,Salary,,From workplace ,165113.55000000002,Income,PKR,30,6,2015,No
2015-07-19 22:24:35,Saving Bank account 1,Other,,Mobile Service Provider recharge 365 days,8966.550000000001,Expense,PKR,19,7,2015,No
2015-07-29 14:36:01,Saving Bank account 1,Other,,audible subscription,686.5500000000001,Expense,PKR,29,7,2015,No
2015-07-31 14:38:08,Saving Bank account 1,Salary,,From workplace ,165113.55000000002,Income,PKR,31,7,2015,No
2015-08-13 09:41:07,Saving Bank account 1,Other,,internet renewal (3 months pack),5002.5,Expense,PKR,13,8,2015,No
2015-08-14 09:22:01,Saving Bank account 1,Household,Kitchen,mixer Philips 7756,12071.55,Expense,PKR,14,8,2015,No
2015-08-28 09:38:54,Saving Bank account 1,Other,,audible subscription,686.5500000000001,Expense,PKR,28,8,2015,No
2015-08-30 13:18:42,Saving Bank account 1,Other,,all out refill,248.4,Expense,PKR,30,8,2015,No
2015-08-31 07:47:33,Saving Bank account 1,Other,,Screw driver kit,990.15,Expense,PKR,31,8,2015,No
2015-08-31 11:48:23,Saving Bank account 1,Money transfer,,,34500.0,Expense,PKR,31,8,2015,Yes
2015-08-31 13:33:18,Saving Bank account 1,Salary,,From workplace ,171830.7,Income,PKR,31,8,2015,No
2015-09-21 08:10:16,Saving Bank account 1,Other,,Mobile Service Provider fi router,7241.55,Expense,PKR,21,9,2015,No
2015-09-26 08:24:14,Cash,Other,,shoe polish,103.5,Expense,PKR,26,9,2015,No
2015-09-27 10:54:06,Saving Bank account 1,Other,,audible subscription,686.5500000000001,Expense,PKR,27,9,2015,No
2015-09-28 10:52:49,Cash,Health,Health,2 n95 masks,1035.0,Expense,PKR,28,9,2015,No
2015-09-28 10:53:25,Cash,Health,Health,6 pairs of use and throw gloves,414.0,Expense,PKR,28,9,2015,No
2015-09-28 10:54:06,Cash,Other,,Mobile Service Provider sim card,1207.5,Expense,PKR,28,9,2015,No
2015-09-30 14:24:23,Cash,Other,,phone cover,345.0,Expense,PKR,30,9,2015,No
2015-09-30 14:25:08,Saving Bank account 1,Salary,,From workplace ,171830.7,Income,PKR,30,9,2015,No
2015-10-18 21:35:17,Saving Bank account 1,Transportation,Taxi,Ola - Place 1 to Place 5 to and fro,2770.3500000000004,Expense,PKR,18,10,2015,No
2015-10-18 21:35:17,Saving Bank account 1,Apparel,Clothing,belt + socs,5102.55,Expense,PKR,18,10,2015,No
2015-10-18 21:35:17,Cash,Money transfer,,,6900.0,Expense,PKR,18,10,2015,No
2015-10-21 18:16:08,Cash,Other,,toll+petrol,1725.0,Expense,PKR,21,10,2015,No
2015-10-22 13:10:06,Saving Bank account 1,Other,,Mobile Service Provider recharge wfh,865.95,Expense,PKR,22,10,2015,No
2015-10-23 08:23:53,Cash,Other,,hanger clips,138.0,Expense,PKR,23,10,2015,No
2015-10-23 14:30:42,Cash,Transportation,auto,mandir to hospital,69.0,Expense,PKR,23,10,2015,No
2015-10-24 18:57:36,Cash,Household,Appliances,plumber,345.0,Expense,PKR,24,10,2015,No
2015-10-25 17:55:32,Cash,Household,Kitchen,Sapat Parivar Tea half kg,828.0,Expense,PKR,25,10,2015,No
2015-10-27 07:48:06,Saving Bank account 1,Other,,audible subscription,686.5500000000001,Expense,PKR,27,10,2015,No
2015-10-28 21:28:33,Cash,Transportation,Bus,Place 2 to brc travels,2277.0,Expense,PKR,28,10,2015,No
2015-10-28 21:38:44,Saving Bank account 1,Gift,,to Family,3450.0,Expense,PKR,28,10,2015,No
2015-10-29 10:17:09,Saving Bank account 1,Transportation,Bus,redbus - brc to Place 2,2294.25,Expense,PKR,29,10,2015,No
2015-10-30 06:35:12,Cash,Transportation,auto,Permanent Residence to kacheri,103.5,Expense,PKR,30,10,2015,No
2015-10-30 14:13:06,Cash,Beauty,grooming,hair cut,172.5,Expense,PKR,30,10,2015,No
2015-10-31 09:26:37,Cash,Transportation,auto,golden circle to b45,621.0,Expense,PKR,31,10,2015,No
2015-10-31 09:27:05,Cash,Health,Health,face mask,517.5,Expense,PKR,31,10,2015,No
2015-10-31 12:08:54,Cash,Food,snacks,sweats,862.5,Expense,PKR,31,10,2015,No
2015-10-31 12:09:14,Saving Bank account 1,Salary,,From workplace ,171830.7,Income,PKR,31,10,2015,No
2015-10-31 19:05:50,Cash,Food,Tea,,34.5,Expense,PKR,31,10,2015,No
2015-10-31 19:06:06,Cash,Transportation,auto,b45 to Pandya bridge,244.95,Expense,PKR,31,10,2015,No
2015-10-31 19:29:41,Cash,Food,snacks,water bottle + khari sing,241.5,Expense,PKR,31,10,2015,No
2015-11-14 21:38:16,Cash,Other,,flowers (.5kg)+sweets (.25gm+10/-)+vegetables (1.5kg),1069.5,Expense,PKR,14,11,2015,No
2015-11-15 19:52:41,Saving Bank account 1,Bonus,,Diwali gift,5175.0,Income,PKR,15,11,2015,No
2015-11-21 21:39:44,Cash,Food,Eggs,1 dozen,289.8,Expense,PKR,21,11,2015,No
2015-11-21 21:40:52,Saving Bank account 1,Other,,Mobile Service Provider recharge wfh,865.95,Expense,PKR,21,11,2015,No
2015-11-26 06:51:26,Saving Bank account 1,Other,,audible subscription,686.5500000000001,Expense,PKR,26,11,2015,No
2015-11-27 16:25:01,Cash,Food,snacks,egg roll,86.25,Expense,PKR,27,11,2015,No
2015-11-29 09:27:52,Cash,Transportation,auto,,103.5,Expense,PKR,29,11,2015,No
2015-11-29 09:27:52,Cash,Transportation,auto,,138.0,Expense,PKR,29,11,2015,No
2015-11-29 09:27:52,Cash,Transportation,auto,,172.5,Expense,PKR,29,11,2015,No
2015-11-30 11:30:45,Saving Bank account 1,Salary,,From workplace ,171830.7,Income,PKR,30,11,2015,No
2015-12-19 14:20:11,Saving Bank account 1,Health,Medicine,eye drop maxmoist,810.75,Expense,PKR,19,12,2015,No
2015-12-19 21:14:02,Saving Bank account 1,Health,Medicine,hand sanitizer,759.0,Expense,PKR,19,12,2015,No
2015-12-19 22:28:38,Cash,Food,Eggs,,276.0,Expense,PKR,19,12,2015,No
2015-12-20 09:08:55,Saving Bank account 1,Gift,,secret Santa - diary,1604.25,Expense,PKR,20,12,2015,No
2015-12-21 23:18:19,Saving Bank account 1,Other,,kindle unlimited,583.0500000000001,Expense,PKR,21,12,2015,No
2015-12-25 17:24:24,Cash,Household,Kitchen,dustbin bags,172.5,Expense,PKR,25,12,2015,No
2015-12-25 17:24:50,Saving Bank account 1,Apparel,Footwear,sliper,931.5,Expense,PKR,25,12,2015,No
2015-12-26 07:27:26,Saving Bank account 1,Other,,audible subscription,686.5500000000001,Expense,PKR,26,12,2015,No
2015-12-26 23:53:57,Cash,Other,,flour mill,96.6,Expense,PKR,26,12,2015,No
2015-12-30 17:30:28,Cash,Beauty,Makeup,hair cut+shaving+dye+facial,6900.0,Expense,PKR,30,12,2015,No
2015-12-30 17:31:33,Cash,Food,,cake advance,345.0,Expense,PKR,30,12,2015,No
2015-12-31 16:56:24,Saving Bank account 1,Salary,,From workplace ,266805.75,Income,PKR,31,12,2015,Yes
2015-12-31 17:00:32,Cash,Food,,cake + balloon (150)+caps(50+40),1863.0,Expense,PKR,31,12,2015,No
2016-01-13 12:06:57,Saving Bank account 1,Other,,wedding gift,155250.0,Income,PKR,13,1,2016,Yes
2016-01-22 09:58:13,Saving Bank account 1,subscription,Kindle unlimited,kindle unlimited,583.0500000000001,Expense,PKR,22,1,2016,No
2016-01-26 19:46:26,Saving Bank account 1,subscription,Audible,audible subscription,686.5500000000001,Expense,PKR,26,1,2016,No
2016-01-31 11:17:24,Saving Bank account 1,Salary,,From workplace ,171830.7,Income,PKR,31,1,2016,No
2016-01-31 11:19:58,Saving Bank account 1,Money transfer,,,34500.0,Expense,PKR,31,1,2016,Yes
2016-02-13 11:14:46,Cash,Transportation,auto,within city,138.0,Expense,PKR,13,2,2016,No
2016-02-13 11:14:46,Saving Bank account 1,Health,Health,hand gloves 4 pairs,276.0,Expense,PKR,13,2,2016,No
2016-02-14 21:35:26,Cash,Food,Grocery,bread (10)+Cadbury(10)+ cheese + myvaneese+pav bhaji masala,569.25,Expense,PKR,14,2,2016,No
2016-02-20 19:45:27,Cash,Food,Grocery,biscuits,293.25,Expense,PKR,20,2,2016,No
2016-02-22 09:05:19,Saving Bank account 1,subscription,Kindle unlimited,kindle unlimited,583.0500000000001,Expense,PKR,22,2,2016,No
2016-02-22 21:02:42,Cash,Food,snacks,5star (2)+munch(2),138.0,Expense,PKR,22,2,2016,No
2016-02-24 06:35:18,Saving Bank account 1,subscription,Audible,audible subscription,686.5500000000001,Expense,PKR,24,2,2016,No
2016-02-26 20:25:51,Saving Bank account 1,Salary,,From workplace ,171830.7,Income,PKR,26,2,2016,No
2016-02-26 20:26:07,Saving Bank account 1,Money transfer,,,34500.0,Expense,PKR,26,2,2016,Yes
2016-02-27 07:49:16,Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider recharge wfh,865.95,Expense,PKR,27,2,2016,No
2016-02-27 07:49:16,Saving Bank account 1,Food,snacks, pedhe,172.5,Expense,PKR,27,2,2016,No
2016-02-27 07:49:16,Cash,Other,,moscuito racket,862.5,Expense,PKR,27,2,2016,No
2016-02-28 10:07:55,Cash,Other,,flour mill,37.95,Expense,PKR,28,2,2016,No
2016-02-28 10:08:09,Saving Bank account 1,Food,snacks, pedhe,345.0,Expense,PKR,28,2,2016,No
2016-02-28 10:08:09,Cash,Grooming,Saloon,hair cut,345.0,Expense,PKR,28,2,2016,No
2016-02-28 19:38:39,Saving Bank account 1,Food,snacks,biscuits,241.5,Expense,PKR,28,2,2016,No
2016-03-15 17:08:31,Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider recharge wfh,865.95,Expense,PKR,15,3,2016,No
2016-03-16 12:44:04,Saving Bank account 1,Gift,,Ganesh murthi,276.0,Expense,PKR,16,3,2016,No
2016-03-20 12:05:13,Cash,Other,,print out,17.25,Expense,PKR,20,3,2016,No
2016-03-20 12:05:32,Cash,Food,Grocery,sambhar masala,120.75,Expense,PKR,20,3,2016,No
2016-03-21 04:26:41,Saving Bank account 1,subscription,Mobile Service Provider,,865.95,Expense,PKR,21,3,2016,No
2016-03-22 14:53:55,Saving Bank account 1,subscription,Kindle unlimited,kindle unlimited,583.0500000000001,Expense,PKR,22,3,2016,No
2016-03-28 15:20:05,Saving Bank account 1,Other,,hit spray(99)+biscuits+mask,548.5500000000001,Expense,PKR,28,3,2016,No
2016-03-29 05:35:43,Cash,Other,,owalni,345.0,Expense,PKR,29,3,2016,No
2016-03-31 10:25:01,Saving Bank account 1,Salary,,From workplace ,244280.7,Income,PKR,31,3,2016,Yes
2016-04-15 07:04:48,Saving Bank account 1,subscription,Mobile Service Provider,,865.95,Expense,PKR,15,4,2016,No
2016-04-16 21:24:04,Cash,Household,Toiletries,sensodyne toothbrush,172.5,Expense,PKR,16,4,2016,No
2016-04-20 10:27:48,Saving Bank account 1,subscription,Mobile Service Provider,,865.95,Expense,PKR,20,4,2016,No
2016-04-24 22:10:32,Saving Bank account 1,subscription,Kindle unlimited,kindle unlimited,583.0500000000001,Expense,PKR,24,4,2016,No
2016-04-26 08:30:54,Saving Bank account 1,Food,Grocery,dettol handwash + khari + toast + goodday,893.5500000000001,Expense,PKR,26,4,2016,No
2016-04-28 22:24:09,Saving Bank account 1,subscription,Hotstar,subscription,1031.55,Expense,PKR,28,4,2016,No
2016-04-30 21:58:43,Saving Bank account 1,Salary,,From workplace ,177890.45249999998,Income,PKR,30,4,2016,No
2016-05-16 20:48:29,Saving Bank account 1,subscription,Mobile Service Provider,,865.95,Expense,PKR,16,5,2016,No
2016-05-17 12:34:38,Cash,Other,,Aadhar mobile number and email id updated,345.0,Expense,PKR,17,5,2016,No
2016-05-17 21:59:19,Saving Bank account 1,Investment,LIC,Life Insurance,38936.7,Expense,PKR,17,5,2016,Yes
2016-05-19 09:21:46,Saving Bank account 1,Food,Grocery,agarbatti + icecream pack,621.0,Expense,PKR,19,5,2016,No
2016-05-22 11:13:40,Cash,Transportation,auto,Permanent Residence to nearby hospital,138.0,Expense,PKR,22,5,2016,No
2016-05-22 11:13:40,Saving Bank account 1,Grooming,Saloon,hair cut+shaving,414.0,Expense,PKR,22,5,2016,No
2016-05-29 19:16:49,Saving Bank account 1,Food,Grocery,sanitary napkins+chocolates+Maggie+khajoor,1738.8000000000002,Expense,PKR,29,5,2016,No
2016-05-30 12:46:40,Saving Bank account 1,subscription,Mobile Service Provider,,865.95,Expense,PKR,30,5,2016,No
2016-05-31 09:51:36,Saving Bank account 1,Transportation,auto,Permanent Residence to LB road,172.5,Expense,PKR,31,5,2016,No
2016-05-31 09:55:09,Saving Bank account 1,Salary,,From workplace ,177868.2,Income,PKR,31,5,2016,No
2016-06-18 19:45:05,Cash,Other,,flour mill,131.1,Expense,PKR,18,6,2016,No
2016-06-19 17:10:49,Saving Bank account 1,Family,exam fee,Family exam form,3122.25,Expense,PKR,19,6,2016,No
2016-06-19 18:49:52,Saving Bank account 1,Food,Grocery,grocery,2070.0,Expense,PKR,19,6,2016,No
2016-06-20 22:19:27,Saving Bank account 1,Food,snacks,icecream,483.0,Expense,PKR,20,6,2016,No
2016-06-22 11:20:48,Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider sim card porting,1207.5,Expense,PKR,22,6,2016,No
2016-06-23 12:02:39,Saving Bank account 1,subscription,Amazon Prime,Amazon prime subscription,3432.75,Expense,PKR,23,6,2016,No
2016-06-27 10:10:57,Saving Bank account 1,subscription,Mobile Service Provider,,865.95,Expense,PKR,27,6,2016,No
2016-06-27 17:09:47,Saving Bank account 1,Transportation,Travels,Chalisgaon to Baroda return,11040.0,Expense,PKR,27,6,2016,No
2016-06-30 08:20:12,Saving Bank account 1,Salary,,From workplace ,177826.80000000002,Income,PKR,30,6,2016,No
2016-06-30 11:40:50,Saving Bank account 1,Other,,pan card application,368.80500000000006,Expense,PKR,30,6,2016,No
2016-06-30 11:40:50,Saving Bank account 1,Interest,,interest paid,2553.0,Income,PKR,30,6,2016,No
2016-07-13 10:21:25,Cash,Health,Medicine,citrizen + crocine,34.5,Expense,PKR,13,7,2016,No
2016-07-20 07:03:14,Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider recharge 365 days,8966.550000000001,Expense,PKR,20,7,2016,No
2016-07-21 16:33:04,Saving Bank account 1,subscription,Mobile Service Provider,,865.95,Expense,PKR,21,7,2016,No
2016-07-25 10:48:49,Saving Bank account 1,subscription,Mobile Service Provider,,865.95,Expense,PKR,25,7,2016,No
2016-07-31 18:50:51,Cash,Other,,frame for specs,862.5,Expense,PKR,31,7,2016,No
2016-07-31 18:51:58,Saving Bank account 1,Salary,,From workplace ,177868.2,Income,PKR,31,7,2016,No
2016-08-14 16:12:49,Cash,Grooming,Saloon,hair cut,345.0,Expense,PKR,14,8,2016,No
2016-08-14 16:13:29,Cash,Other,,pens,17.25,Expense,PKR,14,8,2016,No
2016-08-18 14:19:25,Saving Bank account 1,subscription,Mobile Service Provider,,865.95,Expense,PKR,18,8,2016,No
2016-08-21 08:54:35,Cash,Other,,earphones,345.0,Expense,PKR,21,8,2016,No
2016-08-22 13:22:05,Saving Bank account 1,Festivals,Rakshabandhan,rakshabandhan ovalni ,1725.0,Expense,PKR,22,8,2016,No
2016-08-23 17:25:23,Saving Bank account 1,Family,Pocket money,,6900.0,Expense,PKR,23,8,2016,No
